idx,p_old,sigma_now,sample_vol,omega_old,alpha_old,beta_old,gamma_old,vol_inf_current_impl,ratio_inf_to_sigma,ratio_inf_to_sample,omega_sigma_anchor,omega_ratio_old_to_sigma_anchor
914,1.0,0.018038207463072452,0.016542931719857615,2.7329121541319893e-06,0.03764745050607002,0.981176481633308,-0.03764751946953708,0.011689551219212795,0.6480439502175296,0.7066190816214895,6.50753856961686e-06,0.41996096141354
915,1.0,0.018121297241519004,0.016552090600423727,2.7502665362596625e-06,0.03798647118266296,0.9810068232515202,-0.037986485355422414,0.011726607643004988,0.6471174489725446,0.7084668593286211,6.567628274309692e-06,0.4187609927647339
917,1.0,0.017914900302279994,0.01654858733507477,2.838688596762852e-06,0.03931463008962305,0.980342878812429,-0.03931467225111725,0.011913623707258077,0.6650120015315883,0.719917867672434,6.418873056812678e-06,0.4422409621810493
918,1.0,0.01780362679763989,0.01655431684990912,2.8600468122876373e-06,0.03972664037543456,0.9801369013484652,-0.03972666911573402,0.01195835860870473,0.6716810425553276,0.722371011569129,6.339382542992796e-06,0.45115542292821176
920,1.0,0.017563877246139958,0.01655291695751851,2.910432435879316e-06,0.040810310689361015,0.9795141468365723,-0.04064874403849084,0.012063234300715778,0.6868206906517145,0.7287678861480985,6.169795678349464e-06,0.471722661107298
922,1.0,0.017315485537122557,0.0165467821765671,2.9634332294631475e-06,0.041924828954942324,0.9788724563097668,-0.04159452485304367,0.012172578259068915,0.702987983384711,0.735646250079199,5.996520787726014e-06,0.4941921047833027
923,1.0,0.01715944085019826,0.016547586416137402,3.006475387691732e-06,0.042929893594841784,0.9782693681686527,-0.042398475947154034,0.0122606594188317,0.7145139241929344,0.7409333972037735,5.888928205829061e-06,0.5105301478655863
924,1.0,0.017089359837474612,0.01656224360712721,3.025953532497839e-06,0.042985753516744545,0.9782995560363184,-0.04257040589408766,0.012300312053963954,0.7197643546009876,0.7426718472291264,5.840924393093843e-06,0.5180607261541765
925,1.0,0.016924328571157544,0.016562534795345925,3.0811740911913096e-06,0.044198614259565,0.9775902280541104,-0.043577585976565074,0.012412038694733613,0.7333844082823008,0.7494045354833849,5.728657951690028e-06,0.5378526903115805
926,1.0,0.016919280094606005,0.01654280029466473,3.1174710271060556e-06,0.04387454707372922,0.9780023506011755,-0.04375365541625595,0.01248493297360076,0.7379115957528861,0.7547049321285293,5.725240778394594e-06,0.5445135231465708
927,1.0,0.01692408759716294,0.01652121065162947,3.0612673036268826e-06,0.04245570969027373,0.9787589632096851,-0.04242916040911999,0.012371877997351215,0.7310218601932293,0.7488481478886652,5.728494819928927e-06,0.5343929600803695
930,1.0,0.017182771045123644,0.016541256197058835,3.109736408972517e-06,0.04338608908391848,0.978225273610989,-0.04322269957432369,0.012469435450277072,0.7256940930849343,0.7538384812934724,5.904952415782763e-06,0.5266319167383653
931,1.0,0.017221330274819126,0.01654778641475255,3.126098978065299e-06,0.04378696157068744,0.9779870579952245,-0.04354797598909742,0.012502197762924118,0.7259716620849389,0.7555208563592686,5.931484328688041e-06,0.5270348541503687
932,1.0,0.017126570035551226,0.016549428464026024,3.1478747216946857e-06,0.04437186850686343,0.9776365476717046,-0.044016809919660976,0.01254566602794507,0.7325264779756167,0.7580724648718807,5.8663880236527945e-06,0.5365950409353615
933,1.0,0.017805781030823486,0.016576603324466685,3.152858840769717e-06,0.044209880181338965,0.9777717312595717,-0.04396316675530711,0.012555594053587657,0.7051414387188486,0.7574286364840431,6.340916762352675e-06,0.49722444859848774
934,1.0,0.01822425827395329,0.016593900476015395,3.1598942796516293e-06,0.044177897926593254,0.9778110750943098,-0.043977895358558686,0.012569594821734796,0.6897177724758036,0.7574828377392477,6.642471792715068e-06,0.4757106056689843
935,1.0,0.018104896048488705,0.016587604708486817,3.151294968982312e-06,0.04406280397142712,0.9778407734279159,-0.04380713283218801,0.012552479772902065,0.6933196268724159,0.756738540223337,6.5557452185316446e-06,0.48069210500650583
